coluna A,coluna b,coluna c,coluna d,coluna e
fulano silva,fulanosilva@mail.com,xyz,16:40:00,S
joão pereira,emailemail@mail.com,ghk,17:00:00,S
ciclano andrade,cilcano10@mail.com,ghk,16:40:00,S
fulano paiva,paivafulano@mail.com,ltp,16:40:00,S
marina sena,marisena10@mail.com,ghk,17:00:00,N
xerox silveira,silveiraxerox@mail.com,xyz,16:40:00,S
teste de e-mail,mailtest@mail.com,xyz,16:40:00,S
rita lees,leesrita@mail.com,ltp,17:00:00,N
fu lana teste,fu_lana@mail.com,ghk,16:40:00,S
sara joana tes,tes_sj@mail.com,ltp,17:00:00,N
